query_id	corpus_id	relevance
0	123	1
0	55	1
0	254	1
0	714	1
0	273	1
1	65	1
1	887	1
1	505	1
1	182	1
1	912	1
2	62	1
2	4	1
2	50	1
2	0	1
2	785	1
3	1285	1
3	110	1
3	43	1
3	45	1
3	46	1
4	1031	1
4	1012	1
4	1010	1
4	1152	1
4	435	1
5	154	1
5	161	1
5	151	1
5	150	1
5	173	1
6	273	1
6	497	1
6	907	1
6	503	1
6	501	1
7	996	1
7	555	1
7	1221	1
7	732	1
7	838	1
8	1294	1
8	177	1
8	226	1
8	211	1
8	148	1
9	825	1
9	1152	1
9	994	1
9	696	1
9	904	1
10	351	1
10	350	1
10	354	1
10	349	1
10	139	1
11	1194	1
11	1202	1
11	636	1
11	1201	1
11	1198	1
12	873	1
12	872	1
12	55	1
12	868	1
12	273	1
13	999	1
13	273	1
13	359	1
13	519	1
13	119	1
14	180	1
14	1290	1
14	1193	1
14	1010	1
14	252	1
15	271	1
15	32	1
15	38	1
15	1285	1
15	46	1
16	42	1
16	110	1
16	106	1
16	505	1
16	410	1
17	48	1
17	49	1
17	271	1
17	80	1
17	45	1
18	35	1
18	36	1
18	1284	1
18	37	1
18	1280	1
19	1275	1
19	1276	1
19	1277	1
19	66	1
19	65	1
20	256	1
20	474	1
20	940	1
20	1129	1
20	627	1
21	253	1
21	73	1
21	72	1
21	65	1
21	62	1
22	643	1
22	1015	1
22	580	1
22	896	1
22	16	1
23	264	1
23	1121	1
23	439	1
23	978	1
23	867	1
24	86	1
24	1253	1
24	1223	1
24	87	1
24	95	1
25	999	1
25	273	1
25	359	1
25	519	1
25	119	1
26	62	1
26	4	1
26	50	1
26	0	1
26	785	1
27	273	1
27	497	1
27	907	1
27	503	1
27	501	1
28	180	1
28	1290	1
28	1193	1
28	1010	1
28	252	1
29	1294	1
29	177	1
29	226	1
29	211	1
29	148	1
