2026-01-21 05:19:58 | Experiment | INFO | experiment.py:163 | [ucsb-catalog-rag-exp1:Experiment] Experiment ucsb-catalog-rag-exp1 created with Experiment ID: 1 at /content/rapidfireai/rapidfire_experiments/ucsb-catalog-rag-exp1
2026-01-21 05:20:40 | Experiment | INFO | metric_rfmetric_manager.py:56 | [ucsb-catalog-rag-exp1:Experiment] Initialized TensorBoardMetricLogger: rf_tensorboard
2026-01-21 05:20:40 | Experiment | INFO | experiment.py:208 | [ucsb-catalog-rag-exp1:Experiment] Initialized MetricLogger experiment: ucsb-catalog-rag-exp1
2026-01-21 05:20:40 | Experiment | INFO | dispatcher.py:641 | [ucsb-catalog-rag-exp1:Experiment] Started interactive control dispatcher on http://127.0.0.1:8851
2026-01-21 05:20:40 | Experiment | INFO | dispatcher.py:642 | [ucsb-catalog-rag-exp1:Experiment] Use dispatcher API to dynamically stop/resume/delete/clone pipelines
2026-01-21 05:20:40 | waitress | INFO | wasyncore.py:449 | Serving on http://127.0.0.1:8851
2026-01-21 05:20:41 | Experiment | INFO | experiment.py:373 | [ucsb-catalog-rag-exp1:Experiment] Running multi-config experiment with 4 shard(s), (0.5 GPUs per actor, 1.0 CPUs per actor, 1 actors)
2026-01-21 05:20:41 | Experiment | INFO | experiment.py:382 | [ucsb-catalog-rag-exp1:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-01-21 05:20:42 | Controller | INFO | controller.py:773 | [ucsb-catalog-rag-exp1:Controller] Dataset sharded into 4 shard(s). Shard sizes: [4, 4, 4, 3]
2026-01-21 05:20:42 | Controller | INFO | controller.py:778 | [ucsb-catalog-rag-exp1:Controller] Received 4 pipeline configuration(s)
2026-01-21 05:20:42 | Controller | INFO | controller.py:201 | [ucsb-catalog-rag-exp1:Controller] Found 2 unique RAG context(s)
2026-01-21 05:20:42 | Controller | INFO | controller.py:212 | [ucsb-catalog-rag-exp1:Controller] Will build new context 6bd938e6...
2026-01-21 05:20:42 | Controller | INFO | controller.py:212 | [ucsb-catalog-rag-exp1:Controller] Will build new context 7a1ddaf6...
2026-01-21 05:20:42 | Controller | INFO | controller.py:238 | [ucsb-catalog-rag-exp1:Controller] Building 2 context(s) in parallel...
2026-01-21 05:20:42 | Controller | INFO | controller.py:265 | [ucsb-catalog-rag-exp1:Controller] Creating 2 DocProcessingActor(s) for parallel processing
2026-01-21 05:20:42 | Controller | INFO | controller.py:342 | [ucsb-catalog-rag-exp1:Controller] Submitted 2 build task(s) in parallel
2026-01-21 05:21:19 | DocProcessingActor | INFO | doc_actor.py:55 | [ucsb-catalog-rag-exp1:DocProcessingActor] DocProcessingActor initialized
2026-01-21 05:21:19 | DocProcessingActor | INFO | doc_actor.py:55 | [ucsb-catalog-rag-exp1:DocProcessingActor] DocProcessingActor initialized
2026-01-21 05:21:20 | DocProcessingActor | INFO | doc_actor.py:95 | [ucsb-catalog-rag-exp1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-01-21 05:21:20 | DocProcessingActor | INFO | doc_actor.py:101 | [ucsb-catalog-rag-exp1:DocProcessingActor] Building FAISS index...
2026-01-21 05:21:20 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:227 | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2026-01-21 05:21:20 | DocProcessingActor | INFO | doc_actor.py:95 | [ucsb-catalog-rag-exp1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-01-21 05:21:20 | DocProcessingActor | INFO | doc_actor.py:101 | [ucsb-catalog-rag-exp1:DocProcessingActor] Building FAISS index...
2026-01-21 05:21:20 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:227 | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2026-01-21 05:22:07 | DocProcessingActor | INFO | doc_actor.py:103 | [ucsb-catalog-rag-exp1:DocProcessingActor] FAISS index built successfully
2026-01-21 05:22:07 | DocProcessingActor | INFO | doc_actor.py:107 | [ucsb-catalog-rag-exp1:DocProcessingActor] Transferring FAISS index from GPU to CPU for serialization...
2026-01-21 05:22:07 | DocProcessingActor | INFO | doc_actor.py:114 | [ucsb-catalog-rag-exp1:DocProcessingActor] FAISS index transferred to CPU successfully
2026-01-21 05:22:07 | DocProcessingActor | INFO | doc_actor.py:136 | [ucsb-catalog-rag-exp1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-01-21 05:22:07 | DocProcessingActor | INFO | doc_actor.py:141 | [ucsb-catalog-rag-exp1:DocProcessingActor] FAISS index serialized: 7494264 bytes
2026-01-21 05:22:07 | DocProcessingActor | INFO | doc_actor.py:162 | [ucsb-catalog-rag-exp1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-01-21 05:22:07 | Controller | INFO | controller.py:363 | [ucsb-catalog-rag-exp1:Controller] Built context 1 (6bd938e6...) successfully in 85.30s
